CPUpcntbusy,'Network:total packets/s',SDApcntbusy,memory:pgpgin/s,memory:pgpgout/s,java_totcpu,java_pctcpu,java_rss,java_avgmem_t,java_totcpu_t,puppet_totcpu,puppet_pctcpu,puppet_rss,puppet_avgmem_t,puppet_totcpu_t,sendmail_rss,sendmail_avgmem_t,Crash
9.783784,51.353333,0.0675,0.346667,34.513333,458.73996,9.553891,1405892.8,2135062.4,7781.36,?,?,?,?,?,1792,57712,No
3.013978,67.256667,0.0865,0.393333,37.506667,136.85,2.850067,624823.2,947260.4,7919.8,?,?,?,?,?,1792,57712,No
5.551262,62.066667,0.051833,0,30.9,262.08,5.47913,1093426.4,1657166,8182.72,?,?,?,?,?,1792,57712,No
0.261858,66.786667,0.069833,0,27.18,8.25,0.171821,312425.6,473476,8192.59,?,?,?,?,?,1792,57712,No
0.551632,100.943333,0.053833,0,29.76,17.06,0.355296,624874,946952,8211.92,?,?,?,?,?,1792,57712,No
11.219271,50.793333,0.0725,0.44,30.966667,534.78,11.158342,1405936.8,2128791.6,8746.97,?,?,?,?,?,1792,57712,No
13.820149,63.276667,0.099,0.373333,57.266667,600.74,12.511246,1561928,2362034.4,9347.71,36.22,0.754334,88596,109466,7453.33,1792,57712,No
1.265345,70.103333,0.063,0.346667,41.18,52.89,1.10149,937154.4,1416727.2,9401.69,?,?,?,?,?,1792,57712,No
0.709329,69.88,0.083167,0,37.026667,25.33,0.527531,1093401.6,1652848.4,9427.83,?,?,?,?,?,1792,57712,No
0.852233,64.506667,0.072667,0,33.54,37.24,0.777037,1249648.8,1888969.6,9465.63,?,?,?,?,?,1792,57712,No
1.552198,96.523333,0.0635,0,34.653333,69.53,1.44805,1249699.2,1888969.6,9535.69,?,?,?,?,?,1792,57712,No
2.640877,62.44,0.087667,0,35.126667,123.159996,2.564987,1562144.4,2361212,9658.85,?,?,?,?,?,1792,57712,No
6.505608,387.011647,0.06406,0,51.540765,293.16,6.119015,1562183.6,2361212,9952.01,?,?,?,?,?,1792,57712,No
11.997054,1149.292154,0.070952,0,56.267112,565.23004,11.77197,1562205.6,2361212,10517.24,?,?,?,?,?,1792,57712,No
13.65516,516.096667,0.069667,0,44.993333,600.18005,12.499714,1562190.4,2360389.6,11117.42,35.67,0.742889,88369.2,109238.8,7489,1792,57712,No
